SA2_MAIN16,Place,Area Alber
101021007,Braidwood,3418.3525
101021008,Karabar,6.9825
101021009,Queanbeyan,4.762
101021010,Queanbeyan - East,13.0032
101021012,Queanbeyan West - Jerrabomberra,13.6748
101021610,Googong,6.9164
101021611,Queanbeyan Surrounds,3047.7057
101031013,Bombala,3990.144
101031014,Cooma,103.6371
101031015,Cooma Surrounds,6251.0158
101031016,Jindabyne - Berridale,3939.7888
101041017,Batemans Bay,63.7073
101041018,Batemans Bay - South,30.5948
101041019,Bega - Tathra,183.8984
101041020,Bega-Eden Hinterland,4709.8265
101041021,Broulee - Tomakin,24.2329
101041022,Deua - Wadbilliga,2781.9988
101041023,Eden,94.8138
101041024,Eurobodalla Hinterland,1460.0118
101041025,Merimbula - Tura Beach,97.3395
101041026,Moruya - Tuross Head,165.4118
101041027,Narooma - Bermagui,252.652
101051539,Goulburn,64.7865
101051540,Goulburn Surrounds,9035.1222
101061541,Yass,99.7341
101061542,Yass Surrounds,5680.5696
101061543,Young,505.753
101061544,Young Surrounds,5849.8086
102011028,Avoca Beach - Copacabana,6.4376
102011029,Box Head - MacMasters Beach,32.0802
102011030,Calga - Kulnura,767.9512
102011031,Erina - Green Point,33.7934
102011032,Gosford - Springfield,16.9123
102011033,Kariong,8.3063
102011034,Kincumber - Picketts Valley,11.7169
102011035,Narara,7.7021
102011036,Niagara Park - Lisarow,16.7316
102011037,Point Clare - Koolewong,6.7794
102011038,Saratoga - Davistown,4.7683
102011039,Terrigal - North Avoca,10.4791
102011040,Umina - Booker Bay - Patonga,25.2285
102011041,Wamberal - Forresters Beach,13.7221
102011042,Woy Woy - Blackwall,17.3963
102011043,Wyoming,8.381
102021044,Bateau Bay - Killarney Vale,10.8595
102021045,Blue Haven - San Remo,20.9795
102021046,Budgewoi - Buff Point - Halekulani,9.3297
102021047,Chittaway Bay - Tumbi Umbi,24.4986
102021048,Gorokan - Kanwal - Charmhaven,11.249
102021049,Jilliby - Yarramalong,346.7662
102021050,Lake Munmorah - Mannering Park,35.4946
102021051,Ourimbah - Fountaindale,114.1172
102021052,Summerland Point - Gwandalan,9.1793
102021053,The Entrance,13.8576
102021054,Toukley - Norah Head,10.5216
102021055,Tuggerah - Kangy Angy,27.8463
102021056,Warnervale - Wadalba,42.89
102021057,Wyong,15.0334
103011059,Bathurst - East,94.0342
103011060,Bathurst Surrounds,3798.2628
103011061,Oberon,2972.3813
103011612,Bathurst - South,37.4794
103011613,Bathurst - West,82.0252
103021062,Condobolin,15858.8502
103021063,Cowra,242.201
103021064,Cowra Surrounds,3037.1556
103021065,Forbes,4598.0438
103021066,Grenfell,3294.0766
103021067,Parkes (NSW),234.7555
103021068,Parkes Surrounds,5418.1649
103021069,West Wyalong,8317.473
103031070,Lithgow,119.9844
103031071,Lithgow Surrounds,2514.0698
103031072,Mudgee,65.8949
103031073,Mudgee Surrounds - East,2852.0843
103031074,Mudgee Surrounds - West,8043.8633
103031075,Wollangambe - Wollemi,2448.7276
103041076,Blayney,1642.6748
103041077,Orange,45.2499
103041078,Orange - North,99.5119
103041079,Orange Surrounds,4480.0956
104011080,Grafton,106.2537
104011081,Grafton Surrounds,8445.891
104011082,Maclean - Yamba - Iluka,711.0493
104021083,Bellingen,1001.0481
104021084,Coffs Harbour - North,25.6688
104021085,Coffs Harbour - South,33.6996
104021086,Coramba - Nana Glen - Bucca,363.909
104021087,Dorrigo,1987.6714
104021088,Korora - Emerald Beach,57.6882
104021089,Sawtell - Boambee,118.2251
104021090,Urunga,108.4124
104021091,Woolgoolga - Arrawarra,270.2411
105011092,Bourke - Brewarrina,56841.5222
105011093,Cobar,45551.398
105011094,Coonamble,12142.3532
105011095,Nyngan - Warren,21216.0023
105011096,Walgett - Lightning Ridge,27011.1328
105021097,Broken Hill,170.1153
105021098,Far West,146684.7317
105031099,Coonabarabran,10474.1331
105031100,Dubbo - East,87.6912
105031101,Dubbo - South,25.4336
105031102,Dubbo - West,69.436
105031103,Dubbo Surrounds,4128.5682
105031104,Gilgandra,5393.4381
105031105,Narromine,5956.2535
105031106,Wellington,3603.4369
106011107,Branxton - Greta - Pokolbin,392.2862
106011108,Cessnock,68.9812
106011109,Cessnock Surrounds,1570.4345
106011110,Dungog,2249.9983
106011111,Kurri Kurri - Abermain,90.6145
106011112,Singleton,127.2317
106011113,Singleton Surrounds,4067.2348
106021114,Maitland,32.0793
106021116,Maitland - North,70.5478
106021614,East Maitland - Metford,21.6762
106021615,Rutherford (North) - Aberglasslyn,136.1326
106021616,Rutherford (South) - Telarah,39.3028
106021617,Tenambit - East Maitland,17.2818
106021618,Thornton - Millers Forest,63.0964
106031119,Anna Bay,68.05
106031120,Lemon Tree Passage - Tanilba Bay,29.9822
106031121,Nelson Bay Peninsula,47.4762
106031122,Raymond Terrace,109.4864
106031123,Seaham - Woodville,247.4836
106031124,Tea Gardens - Hawks Nest,204.3164
106031125,Williamtown - Medowie - Karuah,365.182
106041126,Muswellbrook,262.3964
106041127,Muswellbrook Surrounds,3142.4877
106041128,Scone,118.5743
106041129,Scone Surrounds,7948.9584
107011131,Dapto - Avondale,56.6003
107011132,Horsley - Kembla Grange,44.2402
107011133,Port Kembla Industrial,12.939
107011134,Unanderra - Mount Kembla,25.1483
107011545,Berkeley - Lake Heights - Cringila,12.5307
107011546,Port Kembla - Warrawong,6.9708
107011547,Windang - Primbee,5.5883
107021135,Illawarra Catchment Reserve,744.3423
107031136,Albion Park - Macquarie Pass,75.1254
107031137,Albion Park Rail,7.1682
107031138,Kiama,13.8553
107031139,Kiama Downs - Minnamurra,7.261
107031140,Kiama Hinterland - Gerringong,222.2611
107031141,Shellharbour - Flinders,49.5813
107031142,Shellharbour - Oak Flats,6.051
107031143,Warilla,9.4949
107041144,Balgownie - Fairy Meadow,12.2638
107041145,Corrimal - Tarrawanna - Bellambi,11.0648
107041146,Figtree - Keiraville,18.8129
107041147,Helensburgh,154.8373
107041148,Thirroul - Austinmer - Coalcliff,16.1558
107041150,Woonona - Bulli - Russell Vale,15.7847
107041548,Wollongong - East,5.5039
107041549,Wollongong - West,5.6592
108011151,Bulahdelah - Stroud,2334.0245
108011152,Forster,33.873
108011153,Forster-Tuncurry Surrounds,749.4773
108011154,Tuncurry,15.6698
108021155,Kempsey,195.1561
108021156,Kempsey Surrounds,3627.2591
108021157,Macksville - Scotts Head,83.793
108021158,Nambucca Heads,31.0503
108021159,Nambucca Heads Surrounds,1356.0988
108021160,South West Rocks,45.9673
108031161,Lord Howe Island,16.2918
108041162,Laurieton - Bonny Hills,524.9062
108041164,Port Macquarie - West,54.1668
108041165,Port Macquarie Surrounds,2871.7473
108041166,Wauchope,194.8611
108041619,Port Macquarie - East,7.0934
108041620,Port Macquarie - South,34.9946
108051167,Gloucester,2933.8676
108051168,Old Bar - Manning Point - Red Head,209.6182
108051169,Taree,125.1186
108051170,Taree Surrounds,3344.9329
108051171,Wingham,61.5309
109011172,Albury - East,101.484
109011173,Albury - North,24.1552
109011174,Albury - South,48.1442
109011175,Albury Surrounds,5401.7533
109011176,Lavington,21.467
109021177,Hay,13922.8975
109021178,Wentworth - Buronga,322.4567
109021179,Wentworth-Balranald Region,49722.5286
109031180,Corowa,77.1283
109031181,Corowa Surrounds,4495.1557
109031182,Deniliquin,143.2081
109031183,Deniliquin Surrounds,18337.9454
109031184,Moama,167.0068
109031185,Tocumwal - Finley - Jerilderie,5011.159
110011186,Armidale,274.5996
110011187,Armidale Surrounds - North,6098.2353
110011188,Armidale Surrounds - South,3280.2792
110011189,Walcha,6742.5353
110021190,Glen Innes,5479.977
110021191,Inverell,207.6617
110021192,Inverell Surrounds - East,9270.8567
110021193,Inverell Surrounds - West,8283.6399
110021194,Tenterfield,7324.3072
110031195,Moree,69.3971
110031196,Moree Surrounds,19807.3163
110031197,Narrabri,180.363
110031198,Narrabri Surrounds,11965.644
110041199,Gunnedah,90.1551
110041200,Gunnedah Surrounds,5765.8611
110041201,Quirindi,5077.8424
110041202,Tamworth - East,102.1806
110041203,Tamworth - North,76.0422
110041204,Tamworth - West,62.5221
110041205,Tamworth Surrounds,8980.4841
111011206,Belmont - Bennetts Green,22.2102
111011207,Belmont South - Blacksmiths,6.8068
111011208,Charlestown - Dudley,22.2795
111011209,Glendale - Cardiff - Hillsborough,21.9176
111011210,Mount Hutton - Windale,6.2654
111011211,Redhead,3.6842
